osm_type,osm_id,name,brown_relevant_hint,building_type,amenity,operator,owner,address_number,address_street,address_city,address_state,address_postcode,levels,wikidata,wikipedia,website,latitude,longitude,osm_url,source_url,license
way,142009555,,false,house,,,,129,Benefit Street,,,,,,,,41.8298251,-71.4084098,https://www.openstreetmap.org/way/142009555,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009556,,false,house,,,,,,,,,,,,,41.8320263,-71.4016842,https://www.openstreetmap.org/way/142009556,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009563,,false,house,,,,159,Brown Street,Providence,RI,02906,,,,,41.8315544,-71.4036198,https://www.openstreetmap.org/way/142009563,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009565,,false,house,,,,99,Lloyd Avenue,Providence,RI,02906,,,,,41.8312723,-71.4030919,https://www.openstreetmap.org/way/142009565,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009567,,false,house,,,,88,Benefit Street,,,,,,,,41.8310758,-71.4092397,https://www.openstreetmap.org/way/142009567,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009573,,false,house,,,,100,Meeting Street,,,,,,,,41.8289891,-71.40593,https://www.openstreetmap.org/way/142009573,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009574,,false,house,,,,,,,,,,,,,41.8320374,-71.4015136,https://www.openstreetmap.org/way/142009574,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009577,,false,house,,,,165,Pratt Avenue,,,,,,,,41.8303037,-71.4080658,https://www.openstreetmap.org/way/142009577,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009583,Asa W. Armington House,false,house,,,,106,Williams Street,Providence,RI,,,,,,41.8225182,-71.4005548,https://www.openstreetmap.org/way/142009583,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009585,Congdon House,false,house,,,,2,,,,,,,,,41.8277837,-71.4068337,https://www.openstreetmap.org/way/142009585,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009591,,false,house,,,,71,Bowen Street,,,,,,,,41.8303274,-71.4077135,https://www.openstreetmap.org/way/142009591,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009592,,false,house,,,,370,Thayer Street,,,,,,,,41.8325601,-71.4014315,https://www.openstreetmap.org/way/142009592,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009594,Samuel Slocum House,false,house,,,,99,Power Street,Providence,RI,,,,,,41.82276,-71.4002241,https://www.openstreetmap.org/way/142009594,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009600,,false,house,,,,169,Brown Street,Providence,RI,02906,,,,,41.8318242,-71.4036346,https://www.openstreetmap.org/way/142009600,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009601,,false,house,,,,91,Lloyd Avenue,Providence,RI,02906,,,,,41.831264,-71.4034193,https://www.openstreetmap.org/way/142009601,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009606,,false,house,,,,131-133,Brown Street,,,,,,,,41.8305119,-71.4034505,https://www.openstreetmap.org/way/142009606,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009607,,false,house,,,,,,,,,,,,,41.830123,-71.4038749,https://www.openstreetmap.org/way/142009607,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009609,,false,house,,,,92,,,,,,,,,41.8304425,-71.4058197,https://www.openstreetmap.org/way/142009609,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009616,,false,house,,,,,,,,,,,,,41.8319799,-71.401846,https://www.openstreetmap.org/way/142009616,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009617,Lucius Horton House,false,house,,,,49/43,Thayer Street,Providence,RI,02906,,,,,41.8220172,-71.3997705,https://www.openstreetmap.org/way/142009617,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009618,,false,house,,,,129,Brown Street,,,,,,,,41.8302461,-71.4032761,https://www.openstreetmap.org/way/142009618,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009624,,false,house,,,,103,Lloyd Avenue,Providence,RI,02906,,,,,41.8313103,-71.4029314,https://www.openstreetmap.org/way/142009624,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009627,,false,house,,,,169,Pratt Avenue,,,,,,,,41.8301428,-71.4080129,https://www.openstreetmap.org/way/142009627,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009634,,false,house,,,,,,,,,,,,,41.8322971,-71.4031342,https://www.openstreetmap.org/way/142009634,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009635,,false,house,,,,,,,,,,,,,41.8316544,-71.4017726,https://www.openstreetmap.org/way/142009635,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009642,,false,house,,,,181,Lloyd Avenue,,,,,,,,41.8313512,-71.4000761,https://www.openstreetmap.org/way/142009642,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009644,,false,house,,,,,,,,,,,,,41.8323101,-71.4033558,https://www.openstreetmap.org/way/142009644,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009646,,false,house,,,,366,Thayer Street,,,,,,,,41.8324285,-71.4014581,https://www.openstreetmap.org/way/142009646,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009651,,false,house,,,,102,Benefit Street,,,,,,,,41.8306624,-71.4091007,https://www.openstreetmap.org/way/142009651,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009653,,false,house,,,,195,,,,,,,,,41.8326773,-71.4038773,https://www.openstreetmap.org/way/142009653,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009654,,false,house,,,,48,Benefit Street,,,,2,,,,41.8324715,-71.4097288,https://www.openstreetmap.org/way/142009654,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009661,,false,house,,,,252,Bowen Street,,,,,,,,41.8310407,-71.4002684,https://www.openstreetmap.org/way/142009661,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009662,Macfarlane House,false,house,,,,48,College Street,Providence,RI,02912,3,Q131977888,,,41.8262692,-71.4062656,https://www.openstreetmap.org/way/142009662,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009665,,false,house,,,,,,,,,,,,,41.8310847,-71.4068515,https://www.openstreetmap.org/way/142009665,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009670,North House,true,dormitory,,,,111,Brown Street,Providence,RI,02912,3,,,,41.8299238,-71.4033099,https://www.openstreetmap.org/way/142009670,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009674,,false,house,,,,,,,,,,,,,41.8309451,-71.4068242,https://www.openstreetmap.org/way/142009674,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
